task_id,task catefory,mode,user_prompt,input_data_ref,data_key,context_block,expected_capability,acceptance_metrics,evidence required,gold_ref,seed,time_limit_s,notes,expeted_tool_chain
DATA-013,Data Management,Full-Stack,Validate scan parameters consistency across ABIDE sites,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Check that MRI acquisition settings are comparable across different scanning locations,parameter_validator; consistency_check,parameters_documented; outliers_flagged,parameter_table.csv; consistency_report.txt,,,,,
DATA-014,Data Management,Full-Stack,Create data dictionary for Brainomics Localizer variables,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Document what each column in the data tables means with definitions and value ranges,data_dictionary_tool; documentation,dictionary_complete; all_variables_defined,data_dictionary.json; codebook.pdf,,,,,
DATA-015,Data Management,Full-Stack,Sync HCP MegaTrawls updates with local repository,HCP MegaTrawls dataset,nilearn.datasets.fetch_megatrawls_netmats,Download any new connectivity matrices added to the public dataset and update local copy,sync_tool; version_manager,sync_complete; new_data_integrated,sync_log.txt; updated_manifest.csv,,,,,
DATA-016,Data Management,Full-Stack,Generate quality assurance report for OASIS VBM dataset,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,"Create automated checks for missing data, outliers, and data quality issues across all subjects",qa_report_tool; data_profiler,qa_report_generated; issues_identified,qa_report.html; flagged_subjects.csv,,,,,
DATA-017,Data Management,Full-Stack,Link MNE sample dataset with FreeSurfer anatomical data,MNE sample dataset,mne.datasets.sample.data_path() or openneuro ds000248,Connect the MEG functional data to the corresponding brain anatomy for source localization,data_linker; reference_manager,linkage_created; paths_verified,linked_data.json; verification_log.txt,,,,,
DATA-018,Data Management,Full-Stack,Create reproducible data access script for Mixed Gambles,Mixed gambles dataset,nilearn.datasets.fetch_mixed_gambles,Write code that downloads and sets up the dataset the exact same way every time,reproducibility_tool; script_generator,script_created; idempotent_execution,fetch_data.py; setup_instructions.md,,,,,
DATA-019,Data Management,Full-Stack,Monitor and log dataset access patterns for FIAC data,FIAC dataset,nilearn.datasets.fetch_fiac_first_level,Track which files are being used most often to optimize storage and access speed,access_monitor; usage_analyzer,logs_created; access_patterns_identified,access_log.csv; usage_heatmap.png,,,,,
DATA-020,Data Management,Full-Stack,Migrate SPM multimodal dataset to cloud storage with metadata,SPM multimodal dataset,nilearn.datasets.fetch_spm_multimodal_fmri,Upload data to cloud platform with rich tags and descriptions for sharing with collaborators,cloud_uploader; metadata_manager,upload_complete; metadata_searchable,cloud_manifest.json; access_urls.txt,,,,,
,,,,,,,,,,,,,,
PREP-001,Preprocessing,Full-Stack,Run fMRIPrep on Haxby dataset with FreeSurfer surface reconstruction,Haxby dataset,openneuro ds000105 or nilearn.datasets.fetch_haxby,"Clean up raw fMRI data with motion correction, distortion correction, normalize to standard space, and reconstruct cortical surfaces",fmriprep_tool; freesurfer_tool,preprocessing_complete; surfaces_reconstructed,sub-*/func/*_space-MNI_bold.nii.gz; sub-*/anat/surf/,,,,,
PREP-002,Preprocessing,Full-Stack,Preprocess ADHD-200 resting-state with ICA-AROMA denoising,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Remove motion artifacts from resting brain scans using independent component analysis to identify noise patterns,fmriprep_tool; ica_aroma_tool,motion_artifacts_removed; clean_timeseries,*_desc-smoothAROMAnonaggr_bold.nii.gz; mixing_matrix.tsv,,,,,
PREP-003,Preprocessing,Full-Stack,Apply slice timing correction to SPM auditory data,SPM auditory dataset,nilearn.datasets.fetch_spm_auditory,Correct for the fact that different brain slices were acquired at slightly different times,slice_timing_tool; preprocessing,timing_corrected; reference_slice_set,slice_time_corrected_bold.nii.gz; timing_parameters.json,,,,,
PREP-004,Preprocessing,Full-Stack,Run motion correction with volume registration on Development fMRI,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Align all brain volumes to compensate for head movement during the scan,motion_correction_tool; registration,motion_corrected; displacement<2mm,motion_corrected_bold.nii.gz; motion_parameters.txt,,,,,
PREP-005,Preprocessing,Full-Stack,Perform B0 distortion correction on Miyawaki visual data,Miyawaki dataset,openneuro ds006661 or nilearn.datasets.fetch_miyawaki2008,Fix geometric distortions caused by magnetic field inhomogeneities near air-tissue boundaries,distortion_correction_tool; fieldmap_tool,distortion_corrected; geometry_improved,undistorted_bold.nii.gz; fieldmap.nii.gz,,,,,
PREP-006,Preprocessing,Full-Stack,Apply spatial smoothing with 6mm FWHM to Brainomics Localizer,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Blur the images slightly to increase signal-to-noise ratio and account for anatomical variability,smoothing_tool; preprocessing,smoothing_applied; fwhm_verified,smoothed_bold.nii.gz; smoothing_kernel.txt,,,,,
PREP-007,Preprocessing,Full-Stack,Run skull stripping on OASIS structural images,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Remove non-brain tissue like skull and scalp to focus analysis on brain only,skull_stripping_tool; bet_tool,brain_extracted; no_skull_present,brain_mask.nii.gz; brain_extracted.nii.gz,,,,,
PREP-008,Preprocessing,Full-Stack,Perform intensity normalization on ABIDE T1w images,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Standardize image brightness across subjects and scanners for fair comparison,intensity_normalization_tool; n4_correction,intensities_normalized; histogram_matched,normalized_T1w.nii.gz; normalization_stats.csv,,,,,
PREP-009,Preprocessing,Full-Stack,Apply temporal filtering (0.01-0.1 Hz) to NKI resting-state,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Keep only slow fluctuations relevant for resting-state networks by filtering out high frequencies,temporal_filter_tool; bandpass,filtered_timeseries; frequency_verified,filtered_bold.nii.gz; power_spectrum.png,,,,,
PREP-010,Preprocessing,Full-Stack,Run multi-echo combination on SPM multimodal data,SPM multimodal dataset,nilearn.datasets.fetch_spm_multimodal_fmri,Optimally combine images acquired at different echo times to maximize signal quality,multiecho_tool; tedana,combined_echo; tedana_metrics,combined_bold.nii.gz; t2star_map.nii.gz,,,,,
PREP-011,Preprocessing,Full-Stack,Perform gradient unwarping on HCP-style acquisition,Custom HCP-style data,,Correct for spatial distortions caused by non-linear magnetic field gradients,gradient_unwarp_tool; hcp_pipeline,unwarping_complete; geometry_restored,unwarped_bold.nii.gz; warp_field.nii.gz,,,,,
PREP-012,Preprocessing,Full-Stack,Apply CompCor for physiological noise removal on Haxby,Haxby dataset,nilearn.datasets.fetch_haxby,Remove breathing and heartbeat artifacts by modeling noise from white matter and CSF,compcor_tool; nuisance_regression,physiological_noise_removed; confounds_computed,cleaned_bold.nii.gz; compcor_components.tsv,,,,,
PREP-013,Preprocessing,Full-Stack,Run AFNI 3dDespike to remove extreme outliers from ADHD data,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Detect and fix sudden intensity spikes caused by scanner artifacts or motion,despike_tool; outlier_detection,spikes_removed; timeseries_smooth,despiked_bold.nii.gz; spike_report.txt,,,,,
PREP-014,Preprocessing,Full-Stack,Perform grand mean scaling on Brainomics group data,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Scale all subjects' intensities to same average value so group statistics are comparable,scaling_tool; intensity_standardization,scaling_applied; mean_value=10000,scaled_bold.nii.gz; scaling_factors.csv,,,,,
PREP-015,Preprocessing,Full-Stack,Apply 4D volume realignment to Mixed Gambles timeseries,Mixed gambles dataset,nilearn.datasets.fetch_mixed_gambles,Align all volumes in the time series to reduce effects of between-volume motion,realignment_tool; motion_correction,realignment_complete; rms_motion<0.5mm,realigned_bold.nii.gz; realignment_params.txt,,,,,
PREP-016,Preprocessing,Full-Stack,Run denoising with global signal regression on ABIDE,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Remove global brain fluctuations that may represent non-neural noise,global_signal_tool; nuisance_regression,global_signal_removed; variance_reduced,gsr_bold.nii.gz; global_signal_timeseries.txt,,,,,
PREP-017,Preprocessing,Full-Stack,Perform susceptibility distortion correction with opposite phase encoding on FIAC,FIAC dataset,nilearn.datasets.fetch_fiac_first_level,Use scans acquired with reversed phase encoding direction to estimate and correct distortions,topup_tool; sdc_correction,distortions_corrected; displacement_field,corrected_bold.nii.gz; fieldmap_hz.nii.gz,,,,,
PREP-018,Preprocessing,Full-Stack,Apply scrubbing to remove high-motion volumes from Development fMRI,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Identify and censor volumes with excessive motion rather than using them in analysis,scrubbing_tool; motion_censoring,high_motion_censored; fd_threshold=0.5mm,scrubbed_bold.nii.gz; censoring_mask.txt,,,,,
PREP-019,Preprocessing,Full-Stack,Run resampling to 2mm isotropic resolution for HCP MegaTrawls source data,HCP source data,,Change voxel size to standard resolution for compatibility with analysis tools,resampling_tool; interpolation,resampling_complete; voxel_size=2mm,resampled_bold.nii.gz; transformation_matrix.txt,,,,,
PREP-020,Preprocessing,Full-Stack,Perform reference frame alignment to AC-PC line on OASIS,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Rotate brain images so they align with standard anatomical landmarks (anterior/posterior commissure),acpc_alignment_tool; rigid_registration,acpc_aligned; rotation_minimal,acpc_aligned.nii.gz; rotation_matrix.txt,,,,,
,,,,,,,,,,,,,,
QC-001,Quality Control,Full-Stack,Run MRIQC on Haxby dataset and generate quality reports,Haxby dataset,nilearn.datasets.fetch_haxby,"Automatically assess scan quality with dozens of metrics covering artifacts, noise, and motion",mriqc_tool; qc_reporting,reports_generated; quality_scores_computed,group_bold.html; sub-*_bold.html,,,,,
QC-002,Quality Control,Full-Stack,Detect and flag outlier subjects in ADHD-200 based on motion,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Find subjects with excessive head movement that might need to be excluded from analysis,outlier_detection_tool; motion_qc,outliers_identified; threshold_applied,outlier_subjects.txt; motion_summary.csv,,,,,
QC-003,Quality Control,Full-Stack,Compute temporal SNR maps for Brainomics Localizer data,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Calculate signal-to-noise ratio at each voxel over time to identify problematic brain regions,tsnr_tool; qc_metrics,tsnr_maps_generated; mean_tsnr>50,tsnr_map.nii.gz; tsnr_histogram.png,,,,,
QC-004,Quality Control,Full-Stack,Generate framewise displacement timeseries for Development fMRI,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Measure how much the head moved from one volume to the next throughout the scan,fd_tool; motion_qc,fd_timeseries_generated; mean_fd<0.3mm,fd_timeseries.txt; fd_plot.png,,,,,
QC-005,Quality Control,Full-Stack,Run automated artifact detection on SPM auditory data,SPM auditory dataset,nilearn.datasets.fetch_spm_auditory,"Identify volumes with signal dropouts, ghosting, or other scanning problems",artifact_detection_tool; qc_classifier,artifacts_detected; report_generated,artifact_report.html; artifact_volumes.txt,,,,,
QC-006,Quality Control,Full-Stack,Assess coregistration quality between functional and anatomical in NKI,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Check how well the functional scan aligns with the structural scan using overlap metrics,coreg_qc_tool; alignment_checker,alignment_quality_scored; dice>0.85,coregistration_qa.png; alignment_metrics.csv,,,,,
QC-007,Quality Control,Full-Stack,Compute spatial smoothness estimates for ABIDE preprocessed data,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Measure how smooth the data is to ensure preprocessing didn't over-blur images,smoothness_estimator; qc_metrics,fwhm_estimated; smoothness_documented,smoothness_estimates.txt; fwhm_map.nii.gz,,,,,
QC-008,Quality Control,Full-Stack,Generate registration quality plots for OASIS VBM normalization,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Visualize how well individual brains align to template to catch registration failures,reg_qc_tool; visualization,qa_plots_generated; failures_flagged,registration_qa_grid.png; problem_subjects.txt,,,,,
QC-009,Quality Control,Full-Stack,Calculate DVARS for physiological noise assessment in Miyawaki,Miyawaki dataset,nilearn.datasets.fetch_miyawaki2008,Measure rate of change of BOLD signal to detect physiological artifacts like respiration,dvars_tool; noise_qc,dvars_computed; spikes_detected,dvars_timeseries.txt; dvars_plot.png,,,,,
QC-010,Quality Control,Full-Stack,Run brain coverage check on Mixed Gambles acquisition,Mixed gambles dataset,nilearn.datasets.fetch_mixed_gambles,Verify that field of view includes all relevant brain regions without cutoff,coverage_checker; acquisition_qc,coverage_verified; no_cutoff,coverage_map.nii.gz; coverage_report.txt,,,,,
QC-011,Quality Control,Full-Stack,Assess signal dropout in orbitofrontal cortex for FIAC data,FIAC dataset,nilearn.datasets.fetch_fiac_first_level,Check for signal loss in susceptibility-prone regions near sinuses,dropout_checker; susceptibility_qc,dropout_assessed; severity_mapped,dropout_map.nii.gz; ofc_signal_quality.csv,,,,,
QC-012,Quality Control,Full-Stack,Generate ghost-to-signal ratio metrics for HCP resting-state,HCP-style data,,Quantify ghosting artifacts caused by motion and physiological pulsation,gsr_metric_tool; artifact_qc,gsr_computed; threshold=0.03,gsr_report.csv; ghost_visualization.png,,,,,
QC-013,Quality Control,Full-Stack,Run FreeSurfer Euler number QC on ABIDE structural reconstructions,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Check surface reconstruction quality using topological defect count,freesurfer_qc_tool; surface_checker,euler_numbers_computed; threshold<-200,euler_summary.csv; failed_recons.txt,,,,,
QC-014,Quality Control,Full-Stack,Detect and quantify signal spikes in ADHD-200 timeseries,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Find sudden intensity jumps that indicate scanner glitches or severe motion,spike_detector_tool; timeseries_qc,spikes_quantified; outlier_volumes_flagged,spike_report.txt; spike_timeseries.png,,,,,
QC-015,Quality Control,Full-Stack,Assess T1w/T2w ratio quality for Development fMRI anatomicals,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Check structural scan quality using tissue contrast metrics,contrast_qc_tool; structural_metrics,contrast_assessed; ratio_in_range,t1w_t2w_ratio.nii.gz; quality_scores.csv,,,,,
QC-016,Quality Control,Full-Stack,Generate carpet plot for visual inspection of Brainomics data,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Create comprehensive visualization showing all voxels' timeseries to spot global artifacts,carpet_plot_tool; visual_qc,carpet_plot_generated; artifacts_visible,carpet_plot.png; tissue_signals.txt,,,,,
QC-017,Quality Control,Full-Stack,Run intensity uniformity check on OASIS T1w images,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Verify consistent brightness across field of view indicating good RF coil performance,uniformity_checker; acquisition_qc,uniformity_assessed; coefficient<0.15,uniformity_map.nii.gz; uniformity_stats.csv,,,,,
QC-018,Quality Control,Full-Stack,Compute stability metrics for NKI test-retest subjects,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Measure how consistent brain activations are across multiple scanning sessions,reliability_tool; retest_qc,icc_computed; stability_high,reliability_metrics.csv; icc_maps.nii.gz,,,,,
QC-019,Quality Control,Full-Stack,Generate comprehensive QC summary dashboard for SPM multimodal,SPM multimodal dataset,nilearn.datasets.fetch_spm_multimodal_fmri,Create interactive visualization combining multiple quality metrics in one view,dashboard_tool; qc_reporting,dashboard_generated; metrics_integrated,qc_dashboard.html; summary_stats.json,,,,,
QC-020,Quality Control,Full-Stack,Run cross-site harmonization QC for ABIDE multi-site data,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Check for systematic differences between scanning sites that need correction,site_qc_tool; harmonization_checker,site_effects_quantified; batch_correction_needed,site_comparison.png; combat_parameters.csv,,,,,
,,,,,,,,,,,,,,
REG-001,Registration,Full-Stack,Perform ANTs SyN nonlinear registration to MNI152 for Haxby anatomicals,Haxby dataset,nilearn.datasets.fetch_haxby,Warp individual brain anatomy to match standard template using advanced diffeomorphic algorithm,ants_tool; syn_registration,registration_complete; jacobian_reasonable,registered_T1w.nii.gz; composite_warp.nii.gz,,,,,
REG-002,Registration,Full-Stack,Run FSL FLIRT affine registration for ADHD-200 functional to structural,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Align functional scans to anatomical using 12-parameter linear transformation,flirt_tool; affine_registration,coregistration_complete; cost_function_minimized,flirt_matrix.mat; coregistered_bold.nii.gz,,,,,
REG-003,Registration,Full-Stack,Apply FSL FNIRT nonlinear warp to OASIS subjects to MNI space,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Use nonlinear field to deform brains accounting for local shape differences,fnirt_tool; nonlinear_registration,fnirt_complete; warp_field_smooth,fnirt_warp.nii.gz; warped_T1w.nii.gz,,,,,
REG-004,Registration,Full-Stack,Register Development fMRI surfaces to fsaverage template,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Align cortical surface geometry to FreeSurfer standard using spherical registration,freesurfer_registration; surface_alignment,surfaces_registered; curvature_aligned,lh.sphere.reg; rh.sphere.reg,,,,,
REG-005,Registration,Full-Stack,Run multi-modal registration of T1w to T2w for SPM multimodal,SPM multimodal dataset,nilearn.datasets.fetch_spm_multimodal_fmri,Align images from different MRI sequences accounting for contrast differences,multimodal_registration; spm_coreg,modalities_aligned; mutual_information_max,t1_to_t2_matrix.mat; coregistered_t1.nii.gz,,,,,
REG-006,Registration,Full-Stack,Perform symmetric group template construction from ABIDE controls,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,Build unbiased average brain by iteratively registering all subjects together,ants_buildtemplate; groupwise_registration,template_created; unbiased_average,group_template.nii.gz; subject_warps/,,,,,
REG-007,Registration,Full-Stack,Apply boundary-based registration for Brainomics functional-structural alignment,Brainomics Localizer dataset,nilearn.datasets.fetch_localizer_contrasts,Use white matter boundary to improve functional-anatomical registration accuracy,bbr_tool; boundary_registration,bbr_complete; boundary_matched,bbr_matrix.mat; registered_bold.nii.gz,,,,,
REG-008,Registration,Full-Stack,"Register NKI surface data to multiple target spaces (fsaverage5, fsaverage6)",NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Transform surface data to different resolution templates for multi-scale analysis,mris_register_tool; multiresolution,multiple_spaces_registered; vertex_correspondence,fsavg5_lh.func.gii; fsavg6_lh.func.gii,,,,,
REG-009,Registration,Full-Stack,Run HCP Workbench MSMSulc folding-based surface registration,HCP-style data,,Align cortical surfaces using sulcal depth patterns for superior functional correspondence,wb_command; msmsulc_registration,msm_complete; sulci_aligned,MSMSulc.sphere.reg.surf.gii; registration_quality.txt,,,,,
REG-010,Registration,Full-Stack,Perform inverse normalization to bring MNI results back to native space for Miyawaki,Miyawaki dataset,nilearn.datasets.fetch_miyawaki2008,Apply reverse transformation to project group results onto individual's original brain,inverse_warp_tool; native_space_projection,inverse_complete; native_space_results,native_space_results.nii.gz; inverse_warp.nii.gz,,,,,
REG-011,Registration,Full-Stack,Apply diffeomorphic registration with symmetric normalization for OASIS,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Use topology-preserving warps that maintain one-to-one correspondence between brains,ants_syn_tool; diffeomorphic_registration,diffeomorphism_achieved; jacobian_positive,syn_warp.nii.gz; jacobian_map.nii.gz,,,,,
REG-012,Registration,Full-Stack,Register MNE MEG source space to individual FreeSurfer surfaces,MNE sample dataset,mne.datasets.sample.data_path(),Align MEG source model to subject's cortical surface for accurate localization,mne_registration; source_space_alignment,source_space_registered; distances_minimized,src-bem.fif; trans.fif,,,,,
REG-013,Registration,Full-Stack,Run multi-atlas label fusion for improved ADHD-200 segmentation,ADHD-200 dataset,nilearn.datasets.fetch_adhd,Register multiple atlas brains and combine their labels for robust tissue classification,ants_joint_fusion; multi_atlas,fusion_complete; consensus_labels,fused_segmentation.nii.gz; posterior_probs.nii.gz,,,,,
REG-014,Registration,Full-Stack,Perform cross-modality registration of PET to MRI for clinical data,Custom clinical PET/MRI,,Align functional PET images to structural MRI using intensity-based methods,spm_pet_coreg; cross_modality,pet_aligned; anatomical_correspondence,coregistered_pet.nii.gz; transformation.mat,,,,,
REG-015,Registration,Full-Stack,Apply slice-to-volume registration for motion correction in Mixed Gambles,Mixed gambles dataset,nilearn.datasets.fetch_mixed_gambles,Correct for within-volume motion by aligning individual slices independently,slicemoco_tool; intra_volume_correction,slice_motion_corrected; slice_alignment_improved,corrected_bold.nii.gz; slice_transforms.txt,,,,,
REG-016,Registration,Full-Stack,Register DTI tensors to T1w space preserving orientation for diffusion data,Custom DTI data,,Transform diffusion tensors while rotating them to maintain fiber direction accuracy,dti_registration; tensor_reorientation,tensors_reoriented; fa_map_aligned,registered_dti.nii.gz; bvecs_rotated.txt,,,,,
REG-017,Registration,Full-Stack,Run simultaneous registration and segmentation for FIAC structural data,FIAC dataset,nilearn.datasets.fetch_fiac_first_level,Jointly optimize brain alignment and tissue classification in unified framework,unified_segmentation; spm12,segmentation_registered; bias_corrected,c1_gm.nii.gz; c2_wm.nii.gz; deformation_field.nii.gz,,,,,
REG-018,Registration,Full-Stack,Apply temporal registration to align cardiac phase across SPM auditory volumes,SPM auditory dataset,nilearn.datasets.fetch_spm_auditory,Synchronize acquisition timing with heartbeat to reduce physiological noise,cardiac_registration; retrospective_gating,cardiac_aligned; noise_reduced,phase_aligned_bold.nii.gz; cardiac_timings.txt,,,,,
REG-019,Registration,Full-Stack,Register atlas labels to Development fMRI native space for ROI analysis,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Bring standard brain atlas into subject space for extracting signals from regions,atlas_registration; inverse_transform,labels_in_native; parcellation_complete,native_atlas_labels.nii.gz; roi_definitions.csv,,,,,
REG-020,Registration,Full-Stack,Perform longitudinal registration for NKI subjects with repeated scans,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Create within-subject template and register multiple timepoints for stability,longitudinal_pipeline; within_subject,longitudinal_complete; subject_template_created,longitudinal_template.nii.gz; timepoint_warps/,,,,,
,,,,,,,,,,,,,,
SEG-001,Segmentation,Full-Stack,Run FreeSurfer automatic parcellation on OASIS anatomical images,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,Divide cortex into anatomical regions and label subcortical structures using probabilistic atlas,freesurfer_tool; aparc_segmentation,parcellation_complete; 148_cortical_labels,aparc+aseg.mgz; lh.aparc.annot; rh.aparc.annot,,,,,
SEG-002,Segmentation,Full-Stack,"Segment gray matter, white matter, and CSF from ADHD-200 T1w images",ADHD-200 dataset,nilearn.datasets.fetch_adhd,Classify each voxel into one of three main tissue types using intensity and spatial priors,spm_segment_tool; tissue_classification,tissue_maps_generated; probability_sum=1,c1_gm.nii.gz; c2_wm.nii.gz; c3_csf.nii.gz,,,,,
SEG-003,Segmentation,Full-Stack,Perform hippocampus subfield segmentation on ABIDE structural scans,ABIDE dataset,nilearn.datasets.fetch_abide_pcp,"Divide hippocampus into detailed subregions (CA1, CA2/3, DG, subiculum) for precise volumetry",freesurfer_hippo_tool; subfield_segmentation,subfields_segmented; volumes_computed,hippocampal-subfields.mgz; subfield_volumes.csv,,,,,
SEG-004,Segmentation,Full-Stack,Run FAST tissue segmentation with bias field correction on NKI T1w,NKI Enhanced dataset,nilearn.datasets.fetch_surf_nki_enhanced and nilearn.datasets.load_nki,Segment tissues while simultaneously removing intensity inhomogeneity artifacts,fsl_fast_tool; bias_correction,segmentation_complete; bias_removed,fast_seg.nii.gz; bias_field.nii.gz,,,,,
SEG-005,Segmentation,Full-Stack,Segment lesions from stroke patient data using automated detection,Synthetic stroke data,,Identify and delineate brain lesions for volume quantification and location analysis,lesion_detection_tool; automated_segmentation,lesions_detected; sensitivity>0.8,lesion_mask.nii.gz; lesion_report.csv,,,,,
SEG-006,Segmentation,Full-Stack,Perform thalamic nuclei segmentation on Development fMRI anatomicals,Development fMRI dataset,nilearn.datasets.fetch_development_fmri,Subdivide thalamus into constituent nuclei using probabilistic atlas registration,thalamic_nuclei_tool; fine_segmentation,nuclei_segmented; 15_subnuclei,thalamic_nuclei.nii.gz; nuclei_volumes.csv,,,,,
SEG-007,Segmentation,Full-Stack,Run brainstem substructure segmentation on OASIS dataset,OASIS VBM dataset,nilearn.datasets.fetch_oasis_vbm,"Label midbrain, pons, medulla and internal structures like substantia nigra",brainstem_tool; freesurfer_7.2,brainstem_segmented; 5_substructures,brainstem_structures.mgz; structure_volumes.csv,,,,,
