Category,Task_ID,Status,Has_Placeholder_Msg,Has_Dummy_Data,Has_Sample_Evidence,Has_Viz_Placeholder,Has_Real_Data,Datasets_Used,Has_Real_Analysis,Analysis_Methods,Evidence_Required,File_Path
Clinical_Analysis,CLIN-018-Perform-multimodal-fusion-of-PET,PLACEHOLDER,No,Yes,No,No,No,None,No,None,tumor_segmentation.nii.gz; pet_overlay.nii.gz,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-018-Perform-multimodal-fusion-of-PET/run_analysis.sh
Clinical_Analysis,CLIN-019-Calculate-pre-surgical-language-lateralization-from,PLACEHOLDER,No,Yes,No,No,No,None,No,None,laterality_map.nii.gz; laterality_index.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-019-Calculate-pre-surgical-language-lateralization-from/run_analysis.sh
Clinical_Analysis,CLIN-020-Generate-normative-growth-charts-for,UNKNOWN,No,No,No,No,No,None,No,None,growth_charts.png; normative_data.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Clinical_Analysis/CLIN-020-Generate-normative-growth-charts-for/run_analysis.sh
Connectivity,CONN-001-Compute-resting-state-functional-connectivity-using,REAL,No,No,No,No,Yes,"atlas_msdl, adhd",No,None,connectivity_matrix.npy; group_comparison.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-001-Compute-resting-state-functional-connectivity-using/run_analysis.sh
Connectivity,CONN-002-Extract-time-series-from-Yeo,REAL,No,No,No,No,Yes,surf_nki_enhanced,No,None,network_timeseries.csv; correlation_matrix.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-002-Extract-time-series-from-Yeo/run_analysis.sh
Connectivity,CONN-003-Calculate-partial-correlation-connectivity-removing,REAL,No,No,No,No,Yes,abide_pcp,No,None,partial_correlation.npy; significant_edges.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-003-Calculate-partial-correlation-connectivity-removing/run_analysis.sh
Connectivity,CONN-004-Compute-seed-based-connectivity-from-PCC,PLACEHOLDER,No,Yes,No,No,No,None,No,None,pcc_connectivity_map.nii.gz; peak_coordinates.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-004-Compute-seed-based-connectivity-from-PCC/run_analysis.sh
Connectivity,CONN-005-Build-dynamic-connectivity-with-sliding,UNKNOWN,No,No,No,No,No,None,No,None,dynamic_fc_windows.npy; state_transitions.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-005-Build-dynamic-connectivity-with-sliding/run_analysis.sh
Connectivity,CONN-006-Extract-HCP-connectivity-matrices-at,REAL,No,No,No,No,Yes,megatrawls_netmats,No,None,connectivity_matrices.h5; subject_metadata.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-006-Extract-HCP-connectivity-matrices-at/run_analysis.sh
Connectivity,CONN-007-Compute-graph-theory-metrics-clustering,REAL,No,No,No,No,Yes,abide_pcp,No,None,graph_metrics.csv; small_world_sigma.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-007-Compute-graph-theory-metrics-clustering/run_analysis.sh
Connectivity,CONN-008-Calculate-inter-subject-correlation-during-movie,PLACEHOLDER,No,Yes,No,No,No,None,No,None,isc_map.nii.gz; isc_timecourse.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-008-Calculate-inter-subject-correlation-during-movie/run_analysis.sh
Connectivity,CONN-009-Build-structural-functional-coupling-map-using,REAL,No,No,No,No,Yes,abide_pcp,No,None,sc_fc_coupling.npy; coupling_histogram.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-009-Build-structural-functional-coupling-map-using/run_analysis.sh
Connectivity,CONN-010-Compute-modularity-and-identify-network,REAL,No,No,No,No,Yes,adhd,No,None,community_structure.csv; network_modules.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-010-Compute-modularity-and-identify-network/run_analysis.sh
Connectivity,CONN-011-Calculate-degree-centrality-maps-to,PLACEHOLDER,No,Yes,No,No,Yes,surf_nki_enhanced,No,None,centrality_map.nii.gz; hub_coordinates.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-011-Calculate-degree-centrality-maps-to/run_analysis.sh
Connectivity,CONN-012-Perform-edge-wise-connectivity-analysis-comparing,REAL,No,No,No,No,Yes,abide_pcp,No,None,significant_edges.csv; edge_statistics.npy,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-012-Perform-edge-wise-connectivity-analysis-comparing/run_analysis.sh
Connectivity,CONN-013-Extract-connectome-fingerprints-for-individual,REAL,No,No,No,No,Yes,megatrawls_netmats,No,None,fingerprint_vectors.npy; identification_matrix.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-013-Extract-connectome-fingerprints-for-individual/run_analysis.sh
Connectivity,CONN-014-Compute-time-lagged-connectivity-to-find,UNKNOWN,No,No,No,No,No,None,No,None,lagged_connectivity.npy; directionality_graph.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-014-Compute-time-lagged-connectivity-to-find/run_analysis.sh
Connectivity,CONN-015-Build-multi-layer-networks-with-different,REAL,No,No,No,No,Yes,adhd,No,None,multilayer_connectivity.h5; frequency_specific_metrics.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-015-Build-multi-layer-networks-with-different/run_analysis.sh
Connectivity,CONN-016-Calculate-participation-coefficient-to-find,PLACEHOLDER,No,Yes,No,No,Yes,abide_pcp,No,None,participation_map.nii.gz; connector_regions.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-016-Calculate-participation-coefficient-to-find/run_analysis.sh
Connectivity,CONN-017-Perform-canonical-correlation-analysis-between,REAL,No,No,No,No,Yes,megatrawls_netmats,No,None,cca_loadings.csv; prediction_scatter.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-017-Perform-canonical-correlation-analysis-between/run_analysis.sh
Connectivity,CONN-018-Compute-rich-club-organization-to,REAL,No,No,No,No,Yes,surf_nki_enhanced,No,None,rich_club_curve.png; hub_connections.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-018-Compute-rich-club-organization-to/run_analysis.sh
Connectivity,CONN-019-Calculate-connectome-based-predictive-modeling-for,REAL,No,No,No,No,Yes,adhd,No,None,cpm_edges.csv; prediction_accuracy.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-019-Calculate-connectome-based-predictive-modeling-for/run_analysis.sh
Connectivity,CONN-020-Build-gradient-maps-of-functional,PLACEHOLDER,No,Yes,No,No,No,None,No,None,gradient_maps.nii.gz; gradient_loadings.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Connectivity/CONN-020-Build-gradient-maps-of-functional/run_analysis.sh
Data_Harmonization,HARM-001-Apply-ComBat-harmonization-to-remove,PLACEHOLDER,Yes,No,No,No,Yes,abide_pcp,No,None,harmonized_data.npy; site_variance_before_after.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-001-Apply-ComBat-harmonization-to-remove/run_analysis.sh
Data_Harmonization,HARM-002-Harmonize-ADHD-200-multisite-data-using,PLACEHOLDER,Yes,No,Yes,No,Yes,adhd,No,None,harmonized_subjects/; validation_metrics.json,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-002-Harmonize-ADHD-200-multisite-data-using/run_analysis.sh
Data_Harmonization,HARM-003-Remove-scanner-effects-from-Brainomics,PLACEHOLDER,Yes,Yes,No,No,Yes,localizer_contrasts,No,None,harmonized_contrasts.nii.gz; variance_components.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-003-Remove-scanner-effects-from-Brainomics/run_analysis.sh
Data_Harmonization,HARM-004-Apply-CovBat-to-harmonize-connectivity,PLACEHOLDER,Yes,No,No,No,Yes,abide_pcp,No,None,harmonized_connectomes.npy; qc_metrics.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-004-Apply-CovBat-to-harmonize-connectivity/run_analysis.sh
Data_Harmonization,HARM-005-Use-RELIEF-to-harmonize-longitudinal,PLACEHOLDER,Yes,No,No,No,Yes,development_fmri,No,None,harmonized_longitudinal.npy; age_trajectories.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-005-Use-RELIEF-to-harmonize-longitudinal/run_analysis.sh
Data_Harmonization,HARM-006-Harmonize-structural-volumes-from-OASIS,PLACEHOLDER,Yes,No,No,No,Yes,oasis_vbm,No,None,harmonized_volumes.csv; age_curves.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-006-Harmonize-structural-volumes-from-OASIS/run_analysis.sh
Data_Harmonization,HARM-007-Apply-Neurocombat-to-harmonize-cortical,PLACEHOLDER,Yes,No,Yes,No,No,None,No,None,harmonized_thickness.mgh; qc_report.html,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-007-Apply-Neurocombat-to-harmonize-cortical/run_analysis.sh
Data_Harmonization,HARM-008-Harmonize-HCP-connectivity-matrices-to,PLACEHOLDER,Yes,No,No,No,Yes,megatrawls_netmats,No,None,harmonized_hcp_connectomes.npy; compatibility_report.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-008-Harmonize-HCP-connectivity-matrices-to/run_analysis.sh
Data_Harmonization,HARM-009-Use-propensity-score-matching-to,PLACEHOLDER,Yes,No,No,No,Yes,abide_pcp,No,None,matched_subjects.csv; balance_diagnostics.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-009-Use-propensity-score-matching-to/run_analysis.sh
Data_Harmonization,HARM-010-Apply-RAVEL-intensity-normalization-to,PLACEHOLDER,Yes,Yes,No,No,Yes,localizer_contrasts,No,None,normalized_tmaps.nii.gz; normalization_qc.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-010-Apply-RAVEL-intensity-normalization-to/run_analysis.sh
Data_Harmonization,HARM-011-Harmonize-diffusion-metrics-across-QSIPrep,PLACEHOLDER,Yes,Yes,No,No,No,None,No,None,harmonized_fa.nii.gz; pipeline_comparison.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-011-Harmonize-diffusion-metrics-across-QSIPrep/run_analysis.sh
Data_Harmonization,HARM-012-Apply-z-score-normalization-to-ADHD-200,PLACEHOLDER,Yes,No,No,No,Yes,adhd,No,None,normalized_data.npy; normalization_params.json,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-012-Apply-z-score-normalization-to-ADHD-200/run_analysis.sh
Data_Harmonization,HARM-013-Use-MUDI-to-harmonize-multi-echo,PLACEHOLDER,Yes,Yes,No,No,No,None,No,None,harmonized_multi_echo.nii.gz; echo_weights.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-013-Use-MUDI-to-harmonize-multi-echo/run_analysis.sh
Data_Harmonization,HARM-014-Apply-longitudinal-ComBat-to-Development,PLACEHOLDER,Yes,No,No,No,Yes,development_fmri,No,None,harmonized_longitudinal.npy; icc_before_after.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-014-Apply-longitudinal-ComBat-to-Development/run_analysis.sh
Data_Harmonization,HARM-015-Harmonize-PET-SUV-values-across,PLACEHOLDER,Yes,Yes,No,No,No,None,No,None,harmonized_suv.nii.gz; calibration_curves.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-015-Harmonize-PET-SUV-values-across/run_analysis.sh
Data_Harmonization,HARM-016-Apply-deep-learning-based-harmonization-using,PLACEHOLDER,Yes,Yes,No,No,Yes,oasis_vbm,No,None,harmonized_t1w.nii.gz; gan_loss_curves.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-016-Apply-deep-learning-based-harmonization-using/run_analysis.sh
Data_Harmonization,HARM-017-Use-SVA-to-remove-hidden,PLACEHOLDER,Yes,No,No,No,No,None,No,None,harmonized_expression.csv; sva_diagnostics.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-017-Use-SVA-to-remove-hidden/run_analysis.sh
Data_Harmonization,HARM-018-Harmonize-MEG-sensor-level-data-using,PLACEHOLDER,Yes,No,Yes,No,No,None,No,None,harmonized_raw.fif; calibration_factors.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-018-Harmonize-MEG-sensor-level-data-using/run_analysis.sh
Data_Harmonization,HARM-019-Apply-functional-alignment-to-harmonize,PLACEHOLDER,Yes,No,No,No,Yes,localizer_contrasts,No,None,aligned_activations.npy; alignment_quality.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-019-Apply-functional-alignment-to-harmonize/run_analysis.sh
Data_Harmonization,HARM-020-Harmonize-connectivity-using-generalized-canonical,PLACEHOLDER,Yes,No,No,No,Yes,abide_pcp,No,None,canonical_variates.npy; loading_matrices.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Harmonization/HARM-020-Harmonize-connectivity-using-generalized-canonical/run_analysis.sh
Data_Management,DATA-001-Fetch-and-validate-BIDS-structure,UNKNOWN,No,No,No,No,No,None,No,None,dataset_description.json; participants.tsv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-001-Fetch-and-validate-BIDS-structure/run_analysis.sh
Data_Management,DATA-002-Load-and-cache-ADHD-200-dataset,UNKNOWN,No,No,No,No,No,None,No,None,cached_data.pkl; phenotypes.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-002-Load-and-cache-ADHD-200-dataset/run_analysis.sh
Data_Management,DATA-003-Convert-Miyawaki-raw-data-to,UNKNOWN,No,No,No,No,No,None,No,None,converted_bold.nii.gz; sidecar.json,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-003-Convert-Miyawaki-raw-data-to/run_analysis.sh
Data_Management,DATA-004-Create-data-catalog-with-versioning,UNKNOWN,No,No,No,No,No,None,No,None,data_catalog.db; version_log.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-004-Create-data-catalog-with-versioning/run_analysis.sh
Data_Management,DATA-005-Validate-checksums-and-file-integrity,UNKNOWN,No,No,No,No,No,None,No,None,checksum_report.csv; validation_log.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-005-Validate-checksums-and-file-integrity/run_analysis.sh
Data_Management,DATA-006-Extract-and-organize-anatomical-images,UNKNOWN,No,No,No,No,No,None,No,None,T1w_directory/; manifest.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-006-Extract-and-organize-anatomical-images/run_analysis.sh
Data_Management,DATA-007-Create-dataset-splits-trainvaltest-for,UNKNOWN,No,No,No,No,No,None,No,None,train_subjects.txt; val_subjects.txt; test_subjects.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-007-Create-dataset-splits-trainvaltest-for/run_analysis.sh
Data_Management,DATA-008-Merge-phenotypic-data-from-multiple,UNKNOWN,No,No,No,No,No,None,No,None,merged_phenotypes.csv; site_mapping.json,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-008-Merge-phenotypic-data-from-multiple/run_analysis.sh
Data_Management,DATA-009-Generate-data-provenance-tracking-for,UNKNOWN,No,No,No,No,No,None,No,None,provenance.json; processing_dag.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-009-Generate-data-provenance-tracking-for/run_analysis.sh
Data_Management,DATA-010-Export-Development-fMRI-derivatives-to,UNKNOWN,No,No,No,No,No,None,No,None,derivatives/; dataset_description.json,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-010-Export-Development-fMRI-derivatives-to/run_analysis.sh
Data_Management,DATA-011-Build-searchable-metadata-index-for,UNKNOWN,No,No,No,No,No,None,No,None,metadata_index.db; search_interface.html,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-011-Build-searchable-metadata-index-for/run_analysis.sh
Data_Management,DATA-012-Archive-and-compress-Haxby-derivatives,UNKNOWN,No,No,No,No,No,None,No,None,haxby_derivatives.tar.gz; manifest.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-012-Archive-and-compress-Haxby-derivatives/run_analysis.sh
Data_Management,DATA-013-Validate-scan-parameters-consistency-across,UNKNOWN,No,No,No,No,No,None,No,None,parameter_table.csv; consistency_report.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-013-Validate-scan-parameters-consistency-across/run_analysis.sh
Data_Management,DATA-014-Create-data-dictionary-for-Brainomics,UNKNOWN,No,No,No,No,No,None,No,None,data_dictionary.json; codebook.pdf,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-014-Create-data-dictionary-for-Brainomics/run_analysis.sh
Data_Management,DATA-015-Sync-HCP-MegaTrawls-updates-with,UNKNOWN,No,No,No,No,No,None,No,None,sync_log.txt; updated_manifest.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-015-Sync-HCP-MegaTrawls-updates-with/run_analysis.sh
Data_Management,DATA-016-Generate-quality-assurance-report-for,UNKNOWN,No,No,No,No,No,None,No,None,qa_report.html; flagged_subjects.csv,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-016-Generate-quality-assurance-report-for/run_analysis.sh
Data_Management,DATA-017-Link-MNE-sample-dataset-with,UNKNOWN,No,No,No,No,No,None,No,None,linked_data.json; verification_log.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-017-Link-MNE-sample-dataset-with/run_analysis.sh
Data_Management,DATA-018-Create-reproducible-data-access-script,UNKNOWN,No,No,No,No,No,None,No,None,fetch_data.py; setup_instructions.md,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-018-Create-reproducible-data-access-script/run_analysis.sh
Data_Management,DATA-019-Monitor-and-log-dataset-access,UNKNOWN,No,No,No,No,No,None,No,None,access_log.csv; usage_heatmap.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-019-Monitor-and-log-dataset-access/run_analysis.sh
Data_Management,DATA-020-Migrate-SPM-multimodal-dataset-to,UNKNOWN,No,No,No,No,No,None,No,None,cloud_manifest.json; access_urls.txt,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Data_Management/DATA-020-Migrate-SPM-multimodal-dataset-to/run_analysis.sh
Deep_Learning,DL-001-Train-3D-CNN-for-ADHD,PLACEHOLDER,Yes,No,No,No,Yes,adhd,No,None,trained_3dcnn.pth; learning_curves.png,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Deep_Learning/DL-001-Train-3D-CNN-for-ADHD/run_analysis.sh
Deep_Learning,DL-002-Implement-MONAI-U-Net-for-automated,PLACEHOLDER,Yes,Yes,No,No,No,None,No,None,trained_unet.pth; segmentation_examples.nii.gz,/home/runner/work/brain_researcher_benchmark_github_copilot/brain_researcher_benchmark_github_copilot/Deep_Learning/DL-002-Implement-MONAI-U-Net-for-automated/run_analysis.sh
